datetime,temperature_f
2020-01-02T00:52:00,39
2020-01-02T01:52:00,38
2020-01-02T02:52:00,38
2020-01-02T03:52:00,37
2020-01-02T04:52:00,36
2020-01-02T05:52:00,35
2020-01-02T06:52:00,35
2020-01-02T07:52:00,36
2020-01-02T08:52:00,37
2020-01-02T09:52:00,41
2020-01-02T10:52:00,43
2020-01-02T11:52:00,45
2020-01-02T12:52:00,47
2020-01-02T13:52:00,47
2020-01-02T14:52:00,46
2020-01-02T15:52:00,46
2020-01-02T16:52:00,44
2020-01-02T17:52:00,40
2020-01-02T18:52:00,41
2020-01-02T19:52:00,41
2020-01-02T20:52:00,36
2020-01-02T21:52:00,37
2020-01-02T22:52:00,36
2020-01-02T23:52:00,34
2020-01-03T00:52:00,34
